Step 1890: Loss: 6.9922 | Avg: 8.8133
Step 1900: Loss: 7.3647 | Avg: 8.8057
Step 1910: Loss: 7.3208 | Avg: 8.7980
Step 1920: Loss: 7.2838 | Avg: 8.7902
Step 1930: Loss: 7.4905 | Avg: 8.7835
Step 1940: Loss: 7.3410 | Avg: 8.7761
Eval Step 1944: Train: 7.3318 | Val: 7.3349
Step 1950: Loss: 7.2609 | Avg: 8.7683
Step 1960: Loss: 7.7342 | Avg: 8.7631
Step 1970: Loss: 7.2453 | Avg: 8.7554
Step 1980: Loss: 7.6134 | Avg: 8.7497
Step 1990: Loss: 7.5091 | Avg: 8.7435
Step 2000: Loss: 7.1565 | Avg: 8.7356
Eval Step 2000: Train: 7.2871 | Val: 7.3434
Safety checkpoint saved to safety_checkpoint_step_2000.pt
Step 2010: Loss: 7.5145 | Avg: 8.7295
Step 2020: Loss: 7.1873 | Avg: 8.7219
Step 2030: Loss: 7.3280 | Avg: 8.7151
Step 2040: Loss: 7.1626 | Avg: 8.7075
Step 2050: Loss: 7.1676 | Avg: 8.7001
Step 2060: Loss: 7.3450 | Avg: 8.6935
Step 2070: Loss: 7.3758 | Avg: 8.6872
Step 2080: Loss: 7.0182 | Avg: 8.6792
Step 2090: Loss: 7.2116 | Avg: 8.6722
Step 2100: Loss: 7.1900 | Avg: 8.6652
Step 2110: Loss: 7.0322 | Avg: 8.6575
Step 2120: Loss: 7.0064 | Avg: 8.6497
Step 2130: Loss: 7.3196 | Avg: 8.6435
Step 2140: Loss: 7.1877 | Avg: 8.6367
Step 2150: Loss: 7.0172 | Avg: 8.6292
Step 2160: Loss: 7.0222 | Avg: 8.6218
Step 2170: Loss: 6.9841 | Avg: 8.6143
Step 2180: Loss: 6.8314 | Avg: 8.6062
Step 2190: Loss: 7.2045 | Avg: 8.5998
Eval Step 2196: Train: 7.2032 | Val: 7.1872
Step 2200: Loss: 7.2335 | Avg: 8.5936
Step 2210: Loss: 7.0375 | Avg: 8.5866
Step 2220: Loss: 6.8154 | Avg: 8.5787
Step 2230: Loss: 7.2095 | Avg: 8.5726
Step 2240: Loss: 7.1587 | Avg: 8.5663
Step 2250: Loss: 7.2125 | Avg: 8.5603
Eval Step 2250: Train: 7.1813 | Val: 7.1444
Step 2260: Loss: 7.2644 | Avg: 8.5546
Step 2270: Loss: 7.0389 | Avg: 8.5479
Step 2280: Loss: 7.2771 | Avg: 8.5424
Step 2290: Loss: 7.2555 | Avg: 8.5368
Step 2300: Loss: 6.9688 | Avg: 8.5300
Step 2310: Loss: 7.0203 | Avg: 8.5235
Step 2320: Loss: 7.7259 | Avg: 8.5201
Step 2330: Loss: 7.0207 | Avg: 8.5137
Step 2340: Loss: 7.0573 | Avg: 8.5075
Step 2350: Loss: 6.8259 | Avg: 8.5003
Step 2360: Loss: 6.9115 | Avg: 8.4936
Step 2370: Loss: 7.2058 | Avg: 8.4882
Step 2380: Loss: 7.0518 | Avg: 8.4822
Step 2390: Loss: 6.8657 | Avg: 8.4755
Step 2400: Loss: 7.2233 | Avg: 8.4703
Step 2410: Loss: 7.2525 | Avg: 8.4652
Step 2420: Loss: 7.0846 | Avg: 8.4596
Step 2430: Loss: 7.1397 | Avg: 8.4542
Step 2440: Loss: 6.7979 | Avg: 8.4474
Eval Step 2446: Train: 7.0565 | Val: 7.1170
Step 2450: Loss: 6.9632 | Avg: 8.4414
Step 2460: Loss: 7.4375 | Avg: 8.4373
Step 2470: Loss: 7.1971 | Avg: 8.4323
Step 2480: Loss: 7.1551 | Avg: 8.4272
Step 2490: Loss: 7.2219 | Avg: 8.4223
Step 2500: Loss: 6.9153 | Avg: 8.4163
Eval Step 2500: Train: 7.0226 | Val: 7.0850
Step 2510: Loss: 7.0368 | Avg: 8.4109
Step 2520: Loss: 6.9903 | Avg: 8.4053
Step 2530: Loss: 7.1375 | Avg: 8.4003
Step 2540: Loss: 6.3587 | Avg: 8.3923
Step 2550: Loss: 6.8653 | Avg: 8.3863
Step 2560: Loss: 6.9585 | Avg: 8.3807
Step 2570: Loss: 6.7326 | Avg: 8.3743
Step 2580: Loss: 7.2026 | Avg: 8.3698
Step 2590: Loss: 6.8970 | Avg: 8.3642
Step 2600: Loss: 7.5127 | Avg: 8.3609
Step 2610: Loss: 7.2971 | Avg: 8.3568
Step 2620: Loss: 6.8514 | Avg: 8.3511
Step 2630: Loss: 6.8092 | Avg: 8.3453
Step 2640: Loss: 7.1283 | Avg: 8.3407
Step 2650: Loss: 7.0310 | Avg: 8.3358
Step 2660: Loss: 6.9485 | Avg: 8.3306
Step 2670: Loss: 6.9474 | Avg: 8.3254
Step 2680: Loss: 7.2046 | Avg: 8.3212
Step 2690: Loss: 6.9598 | Avg: 8.3162
Eval Step 2695: Train: 6.9816 | Val: 7.0750
Step 2700: Loss: 7.0755 | Avg: 8.3116
Step 2710: Loss: 7.3572 | Avg: 8.3081
Step 2720: Loss: 7.0701 | Avg: 8.3036
Step 2730: Loss: 7.2347 | Avg: 8.2997
Step 2740: Loss: 6.9312 | Avg: 8.2947
Step 2750: Loss: 7.2065 | Avg: 8.2907
Eval Step 2750: Train: 7.0181 | Val: 7.0257
Step 2760: Loss: 6.9740 | Avg: 8.2860
Step 2770: Loss: 7.0485 | Avg: 8.2815
Step 2780: Loss: 7.3153 | Avg: 8.2781
Step 2790: Loss: 7.0643 | Avg: 8.2737
Step 2800: Loss: 7.0608 | Avg: 8.2694
Step 2810: Loss: 6.8556 | Avg: 8.2644
Step 2820: Loss: 7.2576 | Avg: 8.2609
Step 2830: Loss: 7.2847 | Avg: 8.2574
Step 2840: Loss: 6.9095 | Avg: 8.2527
Step 2850: Loss: 7.3156 | Avg: 8.2494
Step 2860: Loss: 6.8036 | Avg: 8.2444
Step 2870: Loss: 6.9184 | Avg: 8.2398
Step 2880: Loss: 7.1188 | Avg: 8.2359
Step 2890: Loss: 7.3389 | Avg: 8.2328
Step 2900: Loss: 6.9821 | Avg: 8.2285
Step 2910: Loss: 6.7107 | Avg: 8.2233
Step 2920: Loss: 7.0009 | Avg: 8.2191
Step 2930: Loss: 7.2542 | Avg: 8.2159
Step 2940: Loss: 7.4589 | Avg: 8.2133
Eval Step 2946: Train: 7.0294 | Val: 7.0423
Step 2950: Loss: 7.1655 | Avg: 8.2097
Step 2960: Loss: 6.7868 | Avg: 8.2050
Step 2970: Loss: 7.0177 | Avg: 8.2010
Step 2980: Loss: 6.8910 | Avg: 8.1966
Step 2990: Loss: 7.0798 | Avg: 8.1929
Step 3000: Loss: 6.9283 | Avg: 8.1887
Eval Step 3000: Train: 7.0079 | Val: 7.0718
Safety checkpoint saved to safety_checkpoint_step_3000.pt
Step 3010: Loss: 6.8845 | Avg: 8.1843
Step 3020: Loss: 7.2316 | Avg: 8.1812
Step 3030: Loss: 7.4341 | Avg: 8.1787
Step 3040: Loss: 7.2573 | Avg: 8.1757
Step 3050: Loss: 6.8426 | Avg: 8.1714
Step 3060: Loss: 7.0386 | Avg: 8.1677
Step 3070: Loss: 7.1446 | Avg: 8.1644
Step 3080: Loss: 6.7513 | Avg: 8.1598
Step 3090: Loss: 7.2264 | Avg: 8.1568
Step 3100: Loss: 7.0063 | Avg: 8.1531
Step 3110: Loss: 7.2552 | Avg: 8.1502
Step 3120: Loss: 6.8285 | Avg: 8.1460
Step 3130: Loss: 7.1146 | Avg: 8.1427
Step 3140: Loss: 7.0874 | Avg: 8.1393
Step 3150: Loss: 6.8812 | Avg: 8.1354
Step 3160: Loss: 7.3523 | Avg: 8.1329
Step 3170: Loss: 7.0868 | Avg: 8.1296
Step 3180: Loss: 7.1362 | Avg: 8.1265
Step 3190: Loss: 6.8292 | Avg: 8.1224
Eval Step 3198: Train: 7.0172 | Val: 7.1008
Step 3200: Loss: 6.7360 | Avg: 8.1181
Step 3210: Loss: 7.1391 | Avg: 8.1151
Step 3220: Loss: 6.9742 | Avg: 8.1115
Step 3230: Loss: 6.9521 | Avg: 8.1080
Step 3240: Loss: 6.7640 | Avg: 8.1038
Step 3250: Loss: 7.3957 | Avg: 8.1016
Eval Step 3250: Train: 7.0043 | Val: 7.1934
Step 3260: Loss: 7.1808 | Avg: 8.0988
Step 3270: Loss: 7.1689 | Avg: 8.0960
Step 3280: Loss: 7.3064 | Avg: 8.0936
Step 3290: Loss: 7.0522 | Avg: 8.0904
Step 3300: Loss: 7.1241 | Avg: 8.0875
Step 3310: Loss: 6.8831 | Avg: 8.0839
Step 3320: Loss: 6.9420 | Avg: 8.0805
Step 3330: Loss: 6.9310 | Avg: 8.0770
Step 3340: Loss: 7.0420 | Avg: 8.0739
Step 3350: Loss: 6.8349 | Avg: 8.0702
Step 3360: Loss: 6.9082 | Avg: 8.0668
Step 3370: Loss: 7.0798 | Avg: 8.0639
Step 3380: Loss: 7.5108 | Avg: 8.0622
Eval Step 3383: Train: 7.0854 | Val: 7.1136
Step 3390: Loss: 7.1825 | Avg: 8.0597
Step 3400: Loss: 7.4088 | Avg: 8.0578
Step 3410: Loss: 7.3583 | Avg: 8.0557
Step 3420: Loss: 7.4590 | Avg: 8.0540
Step 3430: Loss: 7.1780 | Avg: 8.0514
Step 3440: Loss: 7.0865 | Avg: 8.0486
Step 3450: Loss: 7.0864 | Avg: 8.0458
Step 3460: Loss: 6.9330 | Avg: 8.0426
Step 3470: Loss: 6.7224 | Avg: 8.0388
Step 3480: Loss: 7.3199 | Avg: 8.0368
Step 3490: Loss: 6.4102 | Avg: 8.0321
Step 3500: Loss: 7.2659 | Avg: 8.0300
Eval Step 3500: Train: 7.1324 | Val: 7.2192
Step 3510: Loss: 7.3526 | Avg: 8.0280
Step 3520: Loss: 7.0772 | Avg: 8.0253
Step 3530: Loss: 7.1765 | Avg: 8.0229
Step 3540: Loss: 7.1073 | Avg: 8.0204
Step 3550: Loss: 6.9751 | Avg: 8.0174
Step 3560: Loss: 7.0170 | Avg: 8.0146
Step 3570: Loss: 7.3449 | Avg: 8.0127
Step 3580: Loss: 7.0520 | Avg: 8.0101
Step 3590: Loss: 6.8388 | Avg: 8.0068
Step 3600: Loss: 6.9247 | Avg: 8.0038
Step 3610: Loss: 7.0846 | Avg: 8.0013
Step 3620: Loss: 7.4273 | Avg: 7.9997
Step 3630: Loss: 7.4993 | Avg: 7.9983
